x,y,z
-0.0724531451,-0.4724850060,1.6894206098
-0.0724930734,-0.4678731169,1.6884932407
-0.0726034082,-0.4633602157,1.6877000159
-0.0727787400,-0.4589384427,1.6870305540
-0.0730125493,-0.4545984520,1.6864730518
-0.0732974352,-0.4503297838,1.6860148072
-0.0736253422,-0.4461211913,1.6856426729
-0.0739877809,-0.4419609055,1.6853434376
-0.0743760389,-0.4378368314,1.6851041329
-0.0747813816,-0.4337366815,1.6849122747
-0.0751952425,-0.4296480564,1.6847560467
-0.0756094017,-0.4255584909,1.6846244389
-0.0760161531,-0.4214554860,1.6845073487
-0.0764084570,-0.4173265453,1.6843956570
-0.0767800763,-0.4131592379,1.6842812821
-0.0771256928,-0.4089412992,1.6841572196
-0.0774409988,-0.4046607821,1.6840175667
-0.0777227596,-0.4003062600,1.6838575335
-0.0779688431,-0.3958670794,1.6836734385
-0.0781782128,-0.3913336512,1.6834626874
-0.0783508826,-0.3866977647,1.6832237330
-0.0784878328,-0.3819529037,1.6829560164
-0.0785908906,-0.3770945400,1.6826598876
